record_id,decision,matched_uid
C640780,MATCH,AR-84403
C594265,NO_MATCH,
C246467,NO_MATCH,
C867390,NO_MATCH,
C505533,NO_MATCH,
C305855,MATCH,AR-73761
C345934,MATCH,AR-99754
C829589,NO_MATCH,
C263119,NO_MATCH,
C966653,MATCH,AR-54472
C953039,MATCH,AR-44230
C718703,NO_MATCH,
C221420,MATCH,AR-85902
C864115,MATCH,AR-56750
C161585,NO_MATCH,
C288296,MATCH,AR-63270
C899284,NO_MATCH,
C643667,NO_MATCH,
C481666,NO_MATCH,
C308402,NO_MATCH,
C430328,NO_MATCH,
C842298,MATCH,AR-55878
C419577,NO_MATCH,
C829583,NO_MATCH,
C891810,MATCH,AR-96529
C355031,MATCH,AR-79835
C507149,NO_MATCH,
C898650,NO_MATCH,
C728237,NO_MATCH,
C980412,NO_MATCH,
C459315,NO_MATCH,
C957941,NO_MATCH,
C499682,NO_MATCH,
C402095,MATCH,AR-41465
C815039,MATCH,AR-55776
C129171,MATCH,AR-46045
C220392,MATCH,AR-43836
C327446,MATCH,AR-93466
C138311,NO_MATCH,
C381944,NO_MATCH,
C443388,MATCH,AR-11480
C708735,NO_MATCH,
C753366,MATCH,AR-51345
C235020,MATCH,AR-58373
C370296,NO_MATCH,
C879922,NO_MATCH,
C265266,MATCH,AR-72057
C639294,NO_MATCH,
C199637,MATCH,AR-60538
C802093,MATCH,AR-65614
C156170,NO_MATCH,
C466389,NO_MATCH,
C266300,NO_MATCH,
C929841,NO_MATCH,
C371741,NO_MATCH,
C861883,MATCH,AR-91032
C396378,NO_MATCH,
C459607,MATCH,AR-13489
C522956,NO_MATCH,
C858280,MATCH,AR-50328
C613586,NO_MATCH,
C385988,NO_MATCH,
C320904,NO_MATCH,
C546128,MATCH,AR-84091
C546347,MATCH,AR-55107
C441228,NO_MATCH,
C398516,MATCH,AR-79835
C262095,NO_MATCH,
C882746,NO_MATCH,
C724677,NO_MATCH,
C718334,NO_MATCH,
C776580,NO_MATCH,
C544238,MATCH,AR-40296
C638700,MATCH,AR-84717
C644150,NO_MATCH,
C606345,NO_MATCH,
C157776,NO_MATCH,
C717075,MATCH,AR-71122
C972808,NO_MATCH,
C522242,NO_MATCH,
C625816,NO_MATCH,
C963816,NO_MATCH,
C888672,MATCH,AR-72737
C861007,MATCH,AR-78737
C576188,NO_MATCH,
C168712,NO_MATCH,
C377090,NO_MATCH,
C930377,NO_MATCH,
C675737,NO_MATCH,
C987424,NO_MATCH,
C827611,NO_MATCH,
C509685,NO_MATCH,
C119828,NO_MATCH,
C332366,MATCH,AR-87773
C823430,NO_MATCH,
C288557,NO_MATCH,
C927980,NO_MATCH,
C343373,MATCH,AR-51962
C686569,NO_MATCH,
C508472,NO_MATCH,
C915298,NO_MATCH,
C373648,MATCH,AR-61630
C996835,NO_MATCH,
C404391,NO_MATCH,
C251339,NO_MATCH,
C119529,NO_MATCH,
C739427,NO_MATCH,
C820983,NO_MATCH,
C383355,NO_MATCH,
C651366,MATCH,AR-43033
C134432,MATCH,AR-77787
C867218,NO_MATCH,
C702382,NO_MATCH,
C959450,MATCH,AR-61614
C634054,MATCH,AR-52757
C246586,NO_MATCH,
C297113,MATCH,AR-92703
C313531,MATCH,AR-62841
C181946,NO_MATCH,
C931772,NO_MATCH,
C359080,NO_MATCH,
C866932,NO_MATCH,
C527100,NO_MATCH,
C817775,NO_MATCH,
C752694,MATCH,AR-63534
C372087,NO_MATCH,
C374423,NO_MATCH,
C207372,NO_MATCH,
C864779,NO_MATCH,
C245853,NO_MATCH,
C796993,NO_MATCH,
C116072,MATCH,AR-84129
C293583,NO_MATCH,
C524157,NO_MATCH,
C718791,NO_MATCH,
C400204,MATCH,AR-76005
C395102,NO_MATCH,
C702275,NO_MATCH,
C704413,NO_MATCH,
C344416,MATCH,AR-90751
C450364,NO_MATCH,
C976496,NO_MATCH,
C845945,NO_MATCH,
C306950,MATCH,AR-68091
C140369,NO_MATCH,
C638763,NO_MATCH,
C623929,NO_MATCH,
C397063,NO_MATCH,
C891362,NO_MATCH,
C336742,MATCH,AR-78676
C289337,MATCH,AR-15433
C822360,NO_MATCH,
C767950,NO_MATCH,
C320702,NO_MATCH,
C135507,NO_MATCH,
C644088,NO_MATCH,
C325545,NO_MATCH,
C148711,NO_MATCH,
C100010,NO_MATCH,
C698300,NO_MATCH,
C492678,MATCH,AR-53669
C654129,MATCH,AR-71807
C140445,MATCH,AR-96552
C961491,NO_MATCH,
C585042,NO_MATCH,
C876069,NO_MATCH,
C802932,NO_MATCH,
C646679,MATCH,AR-63185
C151255,NO_MATCH,
C349597,MATCH,AR-58428
C991891,NO_MATCH,
C749192,NO_MATCH,
C760079,NO_MATCH,
C966092,MATCH,AR-93554
C112740,MATCH,AR-11045
C813409,MATCH,AR-16154
C802958,NO_MATCH,
C648263,MATCH,AR-74281
C720054,NO_MATCH,
C991073,MATCH,AR-75332
C340682,NO_MATCH,
C104142,NO_MATCH,
C159933,NO_MATCH,
C414262,NO_MATCH,
C521729,NO_MATCH,
C848744,MATCH,AR-63640
C490194,NO_MATCH,
C397765,NO_MATCH,
C858353,MATCH,AR-83457
C619831,NO_MATCH,
C692587,NO_MATCH,
C163654,NO_MATCH,
C556740,NO_MATCH,
C304544,NO_MATCH,
C117861,NO_MATCH,
C726489,MATCH,AR-74501
C771184,MATCH,AR-93586
C602059,NO_MATCH,
C681015,MATCH,AR-54773
C592680,NO_MATCH,
C574527,NO_MATCH,
C813736,MATCH,AR-31517
C481372,NO_MATCH,
C942984,MATCH,AR-78052
C152316,MATCH,AR-23413
C454213,NO_MATCH,
C529885,NO_MATCH,
C726659,NO_MATCH,
C843404,NO_MATCH,
C463163,MATCH,AR-84343
C706895,MATCH,AR-57935
C512556,NO_MATCH,
C630877,NO_MATCH,
C785911,NO_MATCH,
C204687,NO_MATCH,
C631312,NO_MATCH,
C695608,NO_MATCH,
C628512,NO_MATCH,
C265282,NO_MATCH,
C283992,MATCH,AR-95130
C735894,MATCH,AR-67413
C208912,MATCH,AR-51963
C991912,NO_MATCH,
C553842,NO_MATCH,
C974950,MATCH,AR-80496
C259934,MATCH,AR-78453
C318506,MATCH,AR-81987
C374380,NO_MATCH,
C486423,NO_MATCH,
C688650,NO_MATCH,
C491256,NO_MATCH,
C204053,NO_MATCH,
C341249,MATCH,AR-84853
C535032,MATCH,AR-64656
C837379,NO_MATCH,
C566040,NO_MATCH,
C888447,NO_MATCH,
C811938,NO_MATCH,
C733097,NO_MATCH,
C204265,NO_MATCH,
C773356,NO_MATCH,
C235460,NO_MATCH,
C148157,NO_MATCH,
C668202,MATCH,AR-66634
C144376,MATCH,AR-55137
C447236,MATCH,AR-43309
C610823,MATCH,AR-66774
C258891,NO_MATCH,
C301709,NO_MATCH,
C159990,NO_MATCH,
C170973,NO_MATCH,
C188320,NO_MATCH,
C812279,NO_MATCH,
C314756,NO_MATCH,
C806833,NO_MATCH,
C955164,NO_MATCH,
C769122,MATCH,AR-97537
C467792,NO_MATCH,
C957836,NO_MATCH,
C995579,NO_MATCH,
C562090,NO_MATCH,
C454325,MATCH,AR-49455
C617897,MATCH,AR-60488
C379693,MATCH,AR-88075
C470433,NO_MATCH,
C185394,MATCH,AR-52458
C858106,MATCH,AR-88696
C454032,NO_MATCH,
C614662,NO_MATCH,
C395349,MATCH,AR-72489
C425948,MATCH,AR-22957
C765951,NO_MATCH,
C670691,NO_MATCH,
C940543,NO_MATCH,
C318128,MATCH,AR-22473
C711490,MATCH,AR-32398
C610976,NO_MATCH,
C501693,NO_MATCH,
C937294,NO_MATCH,
C390125,NO_MATCH,
C815916,NO_MATCH,
C440552,NO_MATCH,
C296781,NO_MATCH,
C367751,NO_MATCH,
C566708,NO_MATCH,
C423241,NO_MATCH,
C592504,NO_MATCH,
C914471,NO_MATCH,
C616463,NO_MATCH,
C665863,NO_MATCH,
C254019,NO_MATCH,
C353866,MATCH,AR-13016
C227689,NO_MATCH,
C921618,NO_MATCH,
C213208,NO_MATCH,
C765177,NO_MATCH,
C513195,NO_MATCH,
C447366,MATCH,AR-39616
C708093,MATCH,AR-92340
C920443,NO_MATCH,
C806567,NO_MATCH,
C114343,NO_MATCH,
C359694,NO_MATCH,
C538761,NO_MATCH,
C503608,NO_MATCH,
C533754,NO_MATCH,
C482274,NO_MATCH,
C275711,MATCH,AR-95337
C908507,MATCH,AR-21655
C238430,MATCH,AR-31269
C767374,NO_MATCH,
C113548,NO_MATCH,
C194815,NO_MATCH,
C502277,NO_MATCH,
C314672,MATCH,AR-25097
C327488,NO_MATCH,
C536411,NO_MATCH,
C700800,NO_MATCH,
C213540,NO_MATCH,
C305846,NO_MATCH,
C141423,MATCH,AR-62765
C359731,NO_MATCH,
C883303,NO_MATCH,
C117544,MATCH,AR-55277
C451044,MATCH,AR-74609
C324135,NO_MATCH,
C299341,NO_MATCH,
C453524,NO_MATCH,
C820154,MATCH,AR-89446
C355405,NO_MATCH,
C245784,NO_MATCH,
C327474,NO_MATCH,
C554660,MATCH,AR-43721
C127340,NO_MATCH,
C873621,MATCH,AR-87919
C362003,NO_MATCH,
C266542,NO_MATCH,
C164245,MATCH,AR-73579
C539854,NO_MATCH,
C914187,NO_MATCH,
C811090,MATCH,AR-31620
C170727,NO_MATCH,
C133137,NO_MATCH,
C600307,NO_MATCH,
C113272,NO_MATCH,
C308379,MATCH,AR-57421
C453712,NO_MATCH,
C317896,MATCH,AR-87029
C182394,NO_MATCH,
C426102,NO_MATCH,
C436898,NO_MATCH,
C272115,MATCH,AR-95108
C330743,MATCH,AR-15309
C130283,NO_MATCH,
C431752,NO_MATCH,
C917714,NO_MATCH,
C707987,MATCH,AR-94495
C349588,MATCH,AR-46473
C973122,MATCH,AR-16267
C722206,NO_MATCH,
C600407,NO_MATCH,
C374116,NO_MATCH,
C661978,MATCH,AR-31859
C460803,NO_MATCH,
C757286,NO_MATCH,
C982031,MATCH,AR-96514
C602856,NO_MATCH,
C205301,NO_MATCH,
C433768,NO_MATCH,
C176923,MATCH,AR-80918
C424339,MATCH,AR-82173
C902390,NO_MATCH,
C875371,NO_MATCH,
C948992,NO_MATCH,
C741731,NO_MATCH,
C247397,NO_MATCH,
C157295,NO_MATCH,
C245192,NO_MATCH,
C219778,NO_MATCH,
C475124,NO_MATCH,
C882636,NO_MATCH,
C892807,MATCH,AR-97915
C361454,NO_MATCH,
C573543,NO_MATCH,
C155638,NO_MATCH,
C425465,NO_MATCH,
C632820,NO_MATCH,
C913307,MATCH,AR-59212
C601437,MATCH,AR-84103
C284999,NO_MATCH,
C854220,NO_MATCH,
C683829,NO_MATCH,
C854699,MATCH,AR-85923
C584355,MATCH,AR-88444
C391861,MATCH,AR-21276
C709008,NO_MATCH,
C758962,NO_MATCH,
C649976,NO_MATCH,
C179550,NO_MATCH,
C889394,NO_MATCH,
C824973,NO_MATCH,
C345065,MATCH,AR-66390
C826210,NO_MATCH,
C773168,NO_MATCH,
C796554,NO_MATCH,
C341448,NO_MATCH,
C789027,NO_MATCH,
C274633,NO_MATCH,
C590796,NO_MATCH,
C553135,MATCH,AR-85164
C747345,NO_MATCH,
C813614,NO_MATCH,
C457871,NO_MATCH,
C173020,NO_MATCH,
C182756,MATCH,AR-41903
C203593,MATCH,AR-77081
C113237,NO_MATCH,
C817989,NO_MATCH,
C656775,NO_MATCH,
C192401,NO_MATCH,
C351201,NO_MATCH,
C667423,NO_MATCH,
C261272,NO_MATCH,
C592234,NO_MATCH,
C187297,MATCH,AR-87320
C918812,NO_MATCH,
C830742,NO_MATCH,
C338477,NO_MATCH,
C961030,NO_MATCH,
C985662,NO_MATCH,
C619742,NO_MATCH,
C965003,NO_MATCH,
C846181,NO_MATCH,
C307090,NO_MATCH,
C489836,NO_MATCH,
C315519,MATCH,AR-41973
C878174,MATCH,AR-32951
C511139,NO_MATCH,
C439842,MATCH,AR-97186
C153293,MATCH,AR-21105
C264761,NO_MATCH,
C540689,NO_MATCH,
C300089,NO_MATCH,
C208888,MATCH,AR-56002
C784228,NO_MATCH,
C208836,NO_MATCH,
C466756,MATCH,AR-62949
C309224,MATCH,AR-51631
C958199,NO_MATCH,
C786652,NO_MATCH,
C537928,MATCH,AR-23706
C600871,NO_MATCH,
C256243,MATCH,AR-40875
C706236,MATCH,AR-67947
C723645,MATCH,AR-43250
C718864,NO_MATCH,
C439690,NO_MATCH,
C408716,NO_MATCH,
C163530,MATCH,AR-41762
C428355,MATCH,AR-81574
C134521,MATCH,AR-72131
C968295,NO_MATCH,
C162689,MATCH,AR-80151
C697282,NO_MATCH,
C240270,NO_MATCH,
C330584,NO_MATCH,
C500341,MATCH,AR-95320
C105228,NO_MATCH,
C249793,NO_MATCH,
C146470,NO_MATCH,
C825679,NO_MATCH,
C775981,NO_MATCH,
C605919,NO_MATCH,
C620418,NO_MATCH,
C280194,NO_MATCH,
C170908,NO_MATCH,
C495456,NO_MATCH,
C950297,NO_MATCH,
C226817,NO_MATCH,
C848298,NO_MATCH,
C677683,NO_MATCH,
C686814,NO_MATCH,
C880054,NO_MATCH,
C727861,MATCH,AR-78904
C148402,NO_MATCH,
C277786,NO_MATCH,
C254689,NO_MATCH,
C646510,NO_MATCH,
C109567,NO_MATCH,
C371796,MATCH,AR-57171
C770451,MATCH,AR-98923
C192595,MATCH,AR-22742
C257983,NO_MATCH,
C234535,NO_MATCH,
C868045,MATCH,AR-69142
C402675,NO_MATCH,
C582374,NO_MATCH,
C684960,NO_MATCH,
C776688,NO_MATCH,
C746743,NO_MATCH,
C162913,MATCH,AR-28857
C991739,NO_MATCH,
C117675,NO_MATCH,
C988791,MATCH,AR-84723
C213854,NO_MATCH,
C852588,MATCH,AR-32040
C304275,NO_MATCH,
C889243,MATCH,AR-72960
C260006,NO_MATCH,
C968894,NO_MATCH,
C935411,NO_MATCH,
C574028,NO_MATCH,
C238146,MATCH,AR-66718
C244786,MATCH,AR-51284
C831593,NO_MATCH,
C146398,MATCH,AR-14618
C586864,NO_MATCH,
C204938,MATCH,AR-55889
C558435,NO_MATCH,
C738796,NO_MATCH,
C640557,MATCH,AR-36167
C944627,MATCH,AR-35463
C695528,NO_MATCH,
C354372,MATCH,AR-87298
C132955,NO_MATCH,
C945277,NO_MATCH,
C829987,MATCH,AR-69017
C626017,NO_MATCH,
C875548,NO_MATCH,
C823902,NO_MATCH,
C311610,NO_MATCH,
C796381,MATCH,AR-20348
C596285,NO_MATCH,
C842181,NO_MATCH,
C624009,NO_MATCH,
C311685,MATCH,AR-22908
C563855,NO_MATCH,
C593960,NO_MATCH,
C627050,NO_MATCH,
C391392,MATCH,AR-42227
C774900,MATCH,AR-73496
C476227,NO_MATCH,
C475861,MATCH,AR-82221
C325527,MATCH,AR-61327
C729445,NO_MATCH,
C779160,NO_MATCH,
C181448,NO_MATCH,
C386491,NO_MATCH,
C313478,NO_MATCH,
C791284,MATCH,AR-51469
C877599,MATCH,AR-86520
C925990,NO_MATCH,
C170621,NO_MATCH,
C212233,NO_MATCH,
C205430,NO_MATCH,
C482980,NO_MATCH,
C502272,NO_MATCH,
C957518,NO_MATCH,
C901592,MATCH,AR-60792
C631426,NO_MATCH,
C545463,MATCH,AR-26786
C242993,NO_MATCH,
C383896,MATCH,AR-70432
C816687,NO_MATCH,
C975582,NO_MATCH,
C981950,MATCH,AR-53799
C253005,NO_MATCH,
C512318,NO_MATCH,
C152663,NO_MATCH,
C221589,MATCH,AR-94326
C487163,MATCH,AR-67756
C640258,NO_MATCH,
C109909,NO_MATCH,
C672760,MATCH,AR-86902
C635234,NO_MATCH,
C520439,NO_MATCH,
C522592,MATCH,AR-85401
C668111,MATCH,AR-45291
C350120,NO_MATCH,
C498560,NO_MATCH,
C784605,NO_MATCH,
C658485,NO_MATCH,
C677190,NO_MATCH,
C667616,MATCH,AR-65673
C810250,MATCH,AR-56037
C679397,MATCH,AR-27701
C193616,NO_MATCH,
C992002,MATCH,AR-52979
C965805,NO_MATCH,
C362911,NO_MATCH,
C389040,NO_MATCH,
C871693,NO_MATCH,
C736559,NO_MATCH,
C478584,NO_MATCH,
C308957,NO_MATCH,
C476188,NO_MATCH,
C894290,MATCH,AR-41465
C923345,MATCH,AR-76150
C808562,NO_MATCH,
C100673,NO_MATCH,
C769019,NO_MATCH,
C547466,NO_MATCH,
C196842,NO_MATCH,
C998579,NO_MATCH,
C222310,MATCH,AR-91170
C919503,MATCH,AR-41661
C519344,NO_MATCH,
C705776,NO_MATCH,
C859161,NO_MATCH,
C383592,NO_MATCH,
C471495,MATCH,AR-23812
C604516,NO_MATCH,
C999145,NO_MATCH,
C536327,NO_MATCH,
C361008,MATCH,AR-92906
C194300,NO_MATCH,
C895235,MATCH,AR-93886
C550043,MATCH,AR-70089
C865974,NO_MATCH,
C751754,MATCH,AR-13643
C668914,NO_MATCH,
C837119,MATCH,AR-95573
C996073,MATCH,AR-88029
C376662,NO_MATCH,
C108948,MATCH,AR-37687
C441052,NO_MATCH,
C381825,NO_MATCH,
C497149,MATCH,AR-58786
C554488,NO_MATCH,
C902428,NO_MATCH,
C960012,NO_MATCH,
C234573,MATCH,AR-64374
C228937,NO_MATCH,
C600661,MATCH,AR-14846
C249110,NO_MATCH,
C159118,MATCH,AR-94052
C703405,NO_MATCH,
C391889,NO_MATCH,
C796927,NO_MATCH,
C970358,NO_MATCH,
C650500,NO_MATCH,
C993671,MATCH,AR-69976
C433773,MATCH,AR-15684
C757425,NO_MATCH,
C389225,NO_MATCH,
C493229,NO_MATCH,
C798209,MATCH,AR-31648
C615608,NO_MATCH,
C305014,MATCH,AR-19714
C353759,NO_MATCH,
C928577,NO_MATCH,
C818915,NO_MATCH,
C488196,MATCH,AR-66948
C114954,NO_MATCH,
C268783,NO_MATCH,
C876309,MATCH,AR-66481
C483012,MATCH,AR-62893
C851261,NO_MATCH,
C222526,MATCH,AR-45917
C779700,NO_MATCH,
C180378,NO_MATCH,
C650761,MATCH,AR-38797
C784626,NO_MATCH,
C241850,NO_MATCH,
C309055,NO_MATCH,
C767016,MATCH,AR-74902
C421622,NO_MATCH,
C854687,NO_MATCH,
C229116,MATCH,AR-70097
C578863,NO_MATCH,
C375706,NO_MATCH,
C740146,MATCH,AR-42959
C333843,NO_MATCH,
C218615,NO_MATCH,
C221002,NO_MATCH,
C670467,MATCH,AR-93950
C758260,NO_MATCH,
C925476,NO_MATCH,
C711187,MATCH,AR-43581
C437285,NO_MATCH,
C605606,NO_MATCH,
C861816,MATCH,AR-63169
C603487,MATCH,AR-78685
C575085,NO_MATCH,
C818697,NO_MATCH,
C167093,NO_MATCH,
C455891,NO_MATCH,
C957470,NO_MATCH,
C263210,NO_MATCH,
C635267,NO_MATCH,
C534696,NO_MATCH,
C858806,NO_MATCH,
C437381,MATCH,AR-48124
C147274,MATCH,AR-81944
C764161,MATCH,AR-79092
C185915,NO_MATCH,
C150902,NO_MATCH,
C434968,NO_MATCH,
C732406,MATCH,AR-49499
C331055,MATCH,AR-46997
C302582,NO_MATCH,
C548012,NO_MATCH,
C130345,NO_MATCH,
C241427,NO_MATCH,
C688365,MATCH,AR-14524
C500525,NO_MATCH,
C839252,MATCH,AR-51568
C880698,NO_MATCH,
C455595,NO_MATCH,
